RT rt_PROPN_Masc_Sing
@NiltoTatto twitterhandle_VERB_Fin_Sing
: :
Só só_ADV
um um_NUM
dos de_o_ADP_DET_Masc_Plur
imóveis imóvel_NOUN_Masc_Plur
comprados comprar_VERB_Part_Masc_Plur
em em_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
pela por_o_ADP_DET_Fem_Sing
família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Fem_Sing
, ,
vale valer_VERB_Fin_Sing
mais mais_ADV
do de_o_ADP_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
o o_DET_Masc_Sing
triplex triplex_ADJ_Masc_Sing
que que_SCONJ
Lula lula_PROPN_Masc_Sing
não não_ADV
comprou comprar_VERB_Fin_Sing
no em_o_ADP_DET_Masc_Sing
Gua gua_PROPN_Masc_Sing
… …
