RT rt_PROPN_Masc_Sing
@moraestchamaibi twitterhandle_VERB_Fin_Sing
: :
@exercitooficial twitterhandle_ADJ_Masc_Sing
ALERTA alertar_VERB_Fin_Sing
Povo povo_PROPN_Masc_Sing
Brasileiro brasileiro_PROPN_Sing
; ;
Não não_ADV
vamos ir_AUX_Fin_Plur
entregar entregar_VERB_Inf
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
pra para_o_ADP_DET_Fem_Sing
bandidagem bandidagem_NOUN_Fem_Sing
e e_CCONJ
comunistas comunista_ADJ_Masc_Plur
Corruptos corrupto_NOUN_Masc_Plur
, ,
Pra pra_VERB_Fin_Sing
CIMA cima_PROPN_Masc_Sing
P p_PROPN_Sing
… …
