RT rt_PROPN_Masc_Sing
@PedroRonchi2 twitterhandle_PROPN_Sing
: :
A o_DET_Fem_Sing
metade metade_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
imóveis imóvel_NOUN_Masc_Plur
milionários milionário_ADJ_Masc_Plur
da de_o_ADP_DET_Fem_Sing
família família_NOUN_Fem_Sing
bolsonaro bolsonaro_NOUN_Masc_Sing
foram ser_AUX_Fin_Plur
comprados comprar_VERB_Part_Masc_Plur
com com_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
. .
Ah ah_INTJ
, ,
quem quem_PRON_Rel_Sing
nunca nunca_ADV
guardou guardar_VERB_Fin_Sing
milhões milhão_NOUN_Masc_Plur
de de_ADP
… …
